date,predicted_index,real_price,regime_probability,simn,mn_ore,chn_electricity,met_coal,dry_bulk_freight,steel_etf,usd_inr,pick
2026-07-31,114.1047,163.0088,0.429,129345.73522857825,673.4312000083627,1260.1661847643577,100.0,100.0,113.34980787086042,95.44901683834426,74.09718488667758
2026-08-07,113.1658,161.6675,0.4175,141160.21821906336,681.6091495819697,1269.3082170900793,100.0,100.0,109.14626201204621,95.32778010665096,72.32517868130029
2026-08-14,113.9072,162.7267,0.4067,145602.23668546058,699.3624026008397,1290.5735447797413,100.0,100.0,108.39706756007115,95.31724234947309,74.42089992070186
2026-08-21,115.5681,165.0993,0.3963,160831.00993034447,680.5271721244538,1299.5714364213104,100.0,100.0,101.28062794769644,95.94475290668797,77.99063696986765
2026-08-28,115.5668,165.0975,0.3865,158360.03805324956,678.5365577756359,1266.3762398239362,100.0,100.0,96.66823732256441,96.4121306577482,84.50143630730119
2026-09-04,115.8724,165.534,0.3772,164165.86915933125,689.2707934875348,1270.0756317012108,100.0,100.0,104.83831904436403,96.71981168852214,78.62103571286171
2026-09-11,115.5735,165.107,0.3683,158751.813785318,682.3384972855802,1296.0904350641042,100.0,100.0,112.05722273475183,96.58516664227092,80.99305241527313
2026-09-18,114.7148,163.8803,0.3599,149656.516768604,669.4940973499135,1291.832902478911,100.0,100.0,113.90338029027373,97.55311156481822,87.80641490314407
2026-09-25,113.8261,162.6107,0.3519,140025.29723408876,667.7871165284615,1270.748403734187,100.0,100.0,102.48663937590791,97.71970953547536,96.29661888281808
2026-10-02,113.81,162.5878,0.3443,131134.1213105409,658.5044510173798,1351.7407855124402,100.0,100.0,110.77412369209073,98.02444948111788,92.89231574525142
2026-10-09,114.8465,164.0685,0.3371,140474.95461741812,669.3106244215138,1365.050647763172,100.0,100.0,116.67961143884405,98.42609024025654,96.52351758042558
2026-10-16,112.6591,160.9436,0.3303,135195.67928830365,675.8559797274366,1394.7377191187047,100.0,100.0,122.70292157899819,97.77110389597519,92.96810181416332
2026-10-23,113.9703,162.8167,0.3237,131768.43413800953,670.6668819851841,1415.7330861625721,100.0,100.0,124.85290695702768,99.07996278698639,87.95018388900384
2026-10-30,114.517,163.5978,0.3176,127501.97243295213,671.3936042226215,1446.0582424584684,100.0,100.0,114.9486453784896,99.6736280467358,96.71787181181385
2026-11-06,115.3649,164.8091,0.3117,121749.93039511623,677.4052593365653,1446.789362488638,100.0,100.0,119.14172680203507,98.95552426396206,96.84398768063069
2026-11-13,113.8425,162.6342,0.3061,138165.5927675505,693.0374827998322,1455.8278636473517,100.0,100.0,119.37852422117653,98.7787929702821,99.50927329891086
2026-11-20,114.6872,163.841,0.3008,134292.43595523693,685.8365274563989,1435.9994081543243,100.0,100.0,114.81017544958206,97.7980624471418,95.32111362525058
2026-11-27,114.5028,163.5775,0.2957,140604.4287750405,713.4122143452497,1444.7756393173643,100.0,100.0,116.48401293112155,97.92048209727105,97.45496579157647
2026-12-04,115.5011,165.0036,0.291,141515.31617263678,733.4918690402961,1479.2581318133098,100.0,100.0,122.93684892177018,97.73269158121825,92.4124564053678
