date,predicted_index,real_price,regime_probability,simn,mn_ore,chn_electricity,met_coal,dry_bulk_freight,steel_etf,usd_inr,pick
2026-10-09,242.2883,210.7121,0.5123,100.94150632382336,583.7160935578702,1313.7883478426243,100.94150632382336,100.94150632382336,158.77987616408862,97.08685704694086,68.54016440337394
2026-10-16,242.4528,210.8551,0.469,100.96101352868531,578.7957960608747,1258.401022298398,100.96101352868531,100.96101352868531,149.31217895253258,97.26562678881454,68.29818843359924
2026-10-23,244.6127,212.7335,0.4511,100.97954886508623,567.7043606759403,1222.9839365542066,100.97954886508623,100.97954886508623,165.75193015170024,96.73899636696088,66.70793163138653
2026-10-30,245.2257,213.2667,0.4043,100.99716058657948,562.8681326677954,1211.9333936331668,100.99716058657948,100.99716058657948,162.8837008183336,96.39074791008379,66.47868827684563
2026-11-06,245.2257,213.2667,0.3576,101.01389456709555,594.9443157789922,1217.5066869984616,101.01389456709555,101.01389456709555,160.05758214808552,96.86568157980108,67.3097568665862
2026-11-13,243.3214,211.6106,0.2674,101.02979441671208,587.9681765000676,1290.1147968301882,101.02979441671208,101.02979441671208,159.31161606431053,98.0595838471114,63.83534898140993
2026-11-20,241.917,210.3892,0.1781,101.0449015919469,584.7125592849396,1270.6569620473042,101.0449015919469,101.0449015919469,159.24422196025841,99.09716782572846,63.52090242461154
2026-11-27,241.4145,209.9521,0.235,101.05925550081751,560.9219291259092,1276.9882435553732,101.05925550081751,101.05925550081751,157.36966754382058,99.40266716227283,62.50639065874095
2026-12-04,241.473,210.003,0.1307,101.0728936029019,547.159518344702,1315.8156381255271,101.0728936029019,101.0728936029019,160.69189306902769,99.99137935947624,64.05603728383272
2026-12-11,242.6032,210.9859,0.0962,101.08585150462548,551.1258092917591,1332.0054580390354,101.08585150462548,101.08585150462548,168.8145311847935,99.71545973784212,65.04312333805868
2026-12-18,244.7495,212.8525,0.0367,101.09816304999126,534.5345963973019,1224.3737935810284,101.09816304999126,101.09816304999126,181.29933072992358,99.9752393614932,64.01085857619617
2026-12-25,245.5817,213.5762,0.0,101.10986040696035,541.3071457175225,1176.8231224915548,101.10986040696035,101.10986040696035,188.89666072705634,101.9811947796184,62.01421875984612
2027-01-01,245.5817,213.5762,0.0289,101.1209741496828,542.9053240448778,1187.0425792775802,101.1209741496828,101.1209741496828,186.85424370406247,100.5530463756222,60.3521767464577
2027-01-08,245.6679,213.6512,0.109,101.13153333676921,552.7937240736172,1190.4824893056789,101.13153333676921,101.13153333676921,179.22666244587793,100.74412902751911,59.596375722329796
2027-01-15,244.9069,212.9894,0.2167,101.14156558578686,554.8613398981341,1131.76759231568,101.14156558578686,101.14156558578686,178.61286836581235,100.65261175143881,58.31610815396522
2027-01-22,244.7573,212.8593,0.265,101.15109714415536,574.1891867284178,1183.7988063432692,101.15109714415536,101.15109714415536,169.65386435421271,101.47840349691583,56.42055508357704
2027-01-29,244.431,212.5755,0.2658,101.16015295660995,577.4842133907247,1216.800846631701,101.16015295660995,101.16015295660995,167.47280483156993,101.42767004149123,57.97247258020015
2027-02-05,244.7869,212.8851,0.2491,101.16875672939318,588.5324862161012,1151.478640880437,101.16875672939318,101.16875672939318,172.68838920647505,102.74128281925638,57.2587942515212
2027-02-12,244.7007,212.8101,0.2092,101.17693099132855,594.0128943936144,1200.7670141594933,101.17693099132855,101.17693099132855,178.75136436703045,103.10331516198418,56.69341802300208
2027-02-19,244.7869,212.8851,0.2487,101.18469715192329,592.7232921623954,1189.527670033326,101.18469715192329,101.18469715192329,173.66637312679376,101.74784251689252,59.32304056769485
2027-02-26,244.3856,212.5361,0.2288,101.19207555664059,613.5049317903392,1205.7931807319353,101.19207555664059,101.19207555664059,160.35247386335553,103.91188393424312,56.51491366699971
2027-03-05,245.0917,213.1502,0.2147,101.19908553947587,627.0472374313164,1228.385990164899,101.19908553947587,101.19908553947587,160.87464166397612,104.39248379891714,57.354208782515684
